Title,Release Date,Genres,Overview,Original Language,Vote Average,Vote Count,Popularity,TMDB ID
Isle of Dogs,3/23/2018,"Adventure, Comedy, Animation",future outbreak canine flu lead mayor japanese city banish dog island garbage dump outcast soon embark epic journey year old boy arrive island find beloved pet,en,7.848,5078,5.4367,399174
Her,12/18/2013,"Romance, Science Fiction, Drama",distant future theodore lonely writer purchase newly develop operating system design meet user need theodore surprise romantic relationship develop operating system unconventional love story blend science fiction romance sweet tale explore nature love way technology isolate connect,en,7.848,14643,9.7359,152601
Sherlock: The Abominable Bride,1/1/2016,"Crime, Drama, Mystery, Thriller, TV Movie",sherlock holmes watson find london holiday special,en,7.847,2281,1.675,379170
"The Gangster, the Cop, the Devil",5/15/2019,"Crime, Action, Thriller",barely survive brutal attack sadistic serial killer crime boss jan dong leave humiliate determined catch killer know ask form uneasy alliance jung relentless incorruptible detective disrupt illegal business jan dong want dead jung task determined bring justice deal place find decide fate hunt begin blur line crime law,ko,7.8,1298,11.2781,581528
Sing 2,12/1/2021,"Family, Comedy, Music, Animation",buster new cast sight set debut new crystal tower theatre glamorous shore city connection singer sneak crystal entertainment office run ruthless wolf mogul jimmy crystal gang pitch ridiculous idea cast lion rock legend clay galloway buster embark quest find isolated clay persuade return stage,en,7.846,4575,12.6921,438695
The Cameraman,9/10/1928,"Comedy, Romance",photographer take newsreel shoot impress secretary,en,7.846,402,0.8686,31411
War Room,8/28/2015,Drama,family friendly movie explore transformational role prayer play life jordan family tony elizabeth jordan middle class couple seemingly great job beautiful daughter dream home appearance deceive reality jordan marriage war zone daughter collateral damage help miss clara old wise woman elizabeth discover start fight family instead newly energized faith elizabeth toy real enemy prayer,en,7.845,548,3.8186,323272
Warrior,9/9/2011,"Drama, Action",young son alcoholic boxer return home s train father competition mixed martial art tournament path put fighter collision course estranged old brother,en,7.845,4746,5.9883,59440
"Monsters, Inc.",11/1/2001,"Animation, Comedy, Family",lovable pulley wisecracking sidekick mike waco ski scare team monster inc scream processing factory monster poli little girl name boo wander world monster scared silly pulley mike sight home,en,7.845,18978,17.1362,585
Finch,11/4/2021,"Science Fiction, Drama, Adventure",post apocalyptic earth robot build protect life die creator belove dog learn life love friendship mean human,en,7.843,3703,6.213,522402
Dog Day Afternoon,9/21/1975,"Crime, Drama, Thriller",base true story brooklyn bank robber john win topic salvatore nat rile sonny sal attempt bank heist quickly turn sour escalate hostage situation standoff police sonny motive robbery slowly reveal thing complicated heist turn medium circus,en,7.8,3105,2.594,968
Dances with Wolves,3/30/1990,"Adventure, Drama, Western",wound civil war soldier john dunbar try commit suicide hero instead reward s assign dream post remote junction western frontier soon make unlikely friend local sioux tribe,en,7.843,4428,6.9071,581
Knives Out,11/27/2019,"Comedy, Crime, Mystery",renowned crime novelist harlan thrombin find dead estate birthday inquisitive debonair detective ben blanc mysteriously enlist investigate harlan dysfunctional family devoted staff blanc sift web red herring self serve lie uncover truth harlan untimely death,en,7.842,12982,9.314,546554
See You Up There,10/25/2017,"Drama, Crime, War",november day armistice lieutenant travel order senseless attack cause useless disaster outrageous act bind life soldier common battlefield dou ard save albert high cost companion misfortune attempt survive change world travel way,fr,7.843,1305,1.8395,430424
The Theory of Everything,11/7/2014,"Drama, Romance",theory extraordinary story world great living mind renowned astrophysicist stephen hawk fall deeply love fellow cambridge student jane wilde,en,7.842,10769,4.6146,266856
Departures,9/13/2008,Drama,dago cellist lay orchestra move wife small hometown living cheap think apply job travel agency find interview work departure permanent nature undertaker assistant,ja,7.842,862,1.3601,16804
Millennium Actress,9/14/2002,"Animation, Drama, Romance, Fantasy",documentary filmmaker kenya tach bank track legendary actress chi yoko fujiwara mysteriously vanish height career present key lose think go forever filmmaker imagine unlock long hold secret chinook life,ja,7.8,919,1.7015,33320
Mulholland Dr.,1/1/1999,"Thriller, TV Movie, Drama, Mystery",,en,7.84,508,0.7272,185789
Charm City Kings,1/27/2020,Drama,mouse desperately want join midnight clique infamous baltimore dirt bike rider rule summertime street midnight leader blah take year old mouse wing mouse soon find tear straighten narrow road fill fast money violence,en,7.839,483,3.0643,552532
Feast,10/25/2014,"Animation, Comedy, Drama, Family",oscar win animate short film tell story man love life see eye good friend dog winston reveal bite bite meal share,en,7.8,870,0.633,293299
Sunrise: A Song of Two Humans,11/4/1927,"Drama, Romance",married farmer fall spell woman city try convince drown wife,en,7.838,840,0.8628,631
The Big Lebowski,3/6/1998,"Comedy, Crime",jeffrey dude elbow los angeles slacker want bowl drink white russians mistake jeffrey elbow wheelchair bind millionaire find drag strange series event involve nihilist adult film producer ferret errant toe large sum money,en,7.837,11591,7.777,115
Argentina 1985,9/29/2022,"Drama, History, Crime",team lawyer take head argentina bloody military dictatorship battle odd race time,es,7.836,675,2.2712,714888
The Nightmare Before Christmas,10/9/1993,"Fantasy, Animation, Family",tired scare human october old bag trick jack wellington spindly king halloween town kidnap santa claus plan deliver shrunken head ghoulish gift child christmas morning christmas approach jack rag doll girlfriend sally try foil misguided plan,en,7.835,9832,10.3145,9479
Redeeming Love,1/21/2022,"Romance, Drama, Western",retelling biblical book hosea set backdrop california gold rush,en,7.8,636,8.4881,698508
The Shadow in My Eye,10/28/2021,"War, Drama, History",march list british royal air force set mission bomb gestapo headquarters copenhagen raid fatal consequence bomber accidentally target school people kill child,da,7.834,519,1.6523,650031
No Game No Life: Zero,7/15/2017,"Adventure, Animation, Drama, Fantasy, Romance",thousand year sora shirt blink history dis board war consume land tear apart heaven destroy star threaten wipe human race amid chaos destruction young man name roku lead humanity tomorrow heart believe day ruin elf city meet schwa female exile sex machine android ask teach mean human heart,ja,7.8,409,1.9194,445030
Two Women,12/22/1960,"Drama, War",young widow flee rome wii take lonely twelveyearolddaughter rural hometown horror war soon catch,it,7.834,548,1.3116,24167
To Be or Not to Be,3/6/1942,"Comedy, War, Romance",nazi occupation poland act troupe embroil polish soldier effort track german spy,en,7.834,777,1.3267,198
Carlito's Way,11/10/1993,"Crime, Drama, Thriller",free year prison carl brig ante intend criminal way long econ suck new york city underworld reconnecte dancer girlfriend carl get entangle shady dealing friend dave klein eld serve lawyer encounter shifty gangster benny blanc set duo dangerous path,en,7.833,3281,3.8613,6075
It Happened One Night,2/22/1934,"Comedy, Romance",runaway heiress make deal rogue reporter trail mismatch pair end stuck bus leave,en,7.832,1312,1.5202,3078
A Fistful of Dollars,9/12/1964,Western,man enter mexican village san miguel midst power struggle mojo brother sheriff john baxter regiment mexican soldier bear gold intend pay new weapon waylay mojo brother strange insert middle long simmer battle sell false information side benefit,it,7.832,4445,5.1361,391
Invisible Life,8/30/2019,Drama,rio de jane brazil conservative home gusto family eurydice guide inseparable sister support guide share young sister detail romantic adventure eurydice find old sister encouragement need pursue dream professional pianist,pt,7.831,323,0.9818,548544
Raya and the Last Dragon,3/3/2021,"Animation, Family, Fantasy, Action, Adventure",long ago fantasy world human human dragon live harmony evil force threaten land dragon sacrifice save humanity year later evil return lone warrior ray track legendary dragon restore fractured land divided people,en,7.8,6983,7.3992,527774
Papillon,12/16/1973,"Crime, Drama",man befriend fellow criminal begin serve sentence dreadful prison island inspire man plot escape,en,7.831,1984,3.9607,5924
Elite Squad: The Enemy Within,10/8/2010,"Drama, Action, Crime",bloody invasion hope high security penitentiary bang rio de jane control rebellion intern lieutenant colonel roberto pastime second command captain andre mathia accuse human right aids member diego frag execution prisoner mathia transfer corrupted military police pastime exonerate hope governor,pt,7.83,1922,2.1946,47931
Ratatouille,6/28/2007,"Animation, Comedy, Family, Fantasy",rely resident paris appreciate good food sophisticated palate love chef create enjoy culinary masterpiece heart delight problem rely rat wind sewer beneath paris fine restaurant rodent gourmet find ideally place realize dream,en,7.83,17649,17.1053,2062
Fantozzi: White Collar Blues,3/27/1975,Comedy,good natured unlucky italian constantly go difficult situation lose mood,it,7.828,841,0.8175,25606
The Marquis of Grillo,12/23/1981,Comedy,century rome impish aristocrat ono rio del grill amuse play prank sort people reactionary family fellow noble poor french occupier try modernize society pope,it,7.826,480,0.7188,32480
La luna,2/10/2012,"Animation, Family, Fantasy",young boy come age peculiar circumstance tonight time papa grandpa take work old wooden boat row far sea land sight stop wait big surprise await boy discover family unusual line work follow example papa grandpa able find way midst conflict opinion timeworn tradition,en,7.827,813,0.5011,83564
Lisbela and the Prisoner,8/22/2003,"Comedy, Romance",lis bela young woman love go movie leu con man go town town sell sort thing perform master ceremony cheesy number woman get transform gorilla get involve lin aura sexy beautiful woman happen wife frightening whitman place whitman find wife affair go leu leave hurry town meet fall instantly love lis bela engage douglas hillbilly try hard pass cosmopolitan rio de jane dweller,pt,7.8,392,0.0624,52345
Kiki's Delivery Service,7/29/1989,"Animation, Family, Fantasy",young witch mandatory year independent life find fitting new community difficult support run air courier service,ja,7.8,4274,6.1027,16859
The Boy in the Striped Pyjamas,5/7/2008,"Drama, War, History",family move home berlin strange new house poland young bruno befriend samuel boy live fence wear striped pyjama unaware samuel fate jewish prisoner role nazi father play imprisonment bruno embark dangerous journey inside camp wall,en,7.827,7363,7.0907,14574
Close to the Horizon,10/10/2019,"Romance, Drama",jessica know exactly life suppose look like take meet danny complicated past confuse plan jessica decide,de,7.829,494,1.4469,594634
Rosemary's Baby,6/12/1968,"Drama, Horror, Thriller",young couple rosemary guy move infamous new york apartment building know frightening legend mysterious event purpose start family,en,7.824,4086,3.5739,805
The Grapes of Wrath,3/15/1940,Drama,tom road return home jail sentence find family kick farm foreclosure catch uncle farm join day head california new life hopefully,en,7.824,1034,1.5065,596
The Breadwinner,11/17/2017,"Animation, War, Drama, Family",headstrong young girl afghanistan rule taliban disguise boy order provide family,en,7.823,865,1.8947,435129
3-Iron,10/15/2004,"Drama, Romance, Crime",drifter live people house away repay chore life change meet beautiful woman want escape unhappy marriage,ko,7.8,1187,2.3177,1280
Us Again,3/3/2021,"Animation, Drama, Family, Romance",vibrant city pulsate rhythm movement elderly man young heart wife rekindle youthful passion life magical night,en,7.8,335,1.2669,779047
Logan,2/28/2017,"Action, Drama, Science Fiction",near future weary logan care ail professor hideout mexican border loan attempt hide world legacy upend young mutant arrive pursue dark force,en,7.821,19722,10.1904,263115
Ivan's Childhood,5/9/1962,"Drama, War",year old soviet orphan ivan bond rev work soviet army scout german line strike friendship sympathetic soviet officer,ru,7.821,772,2.1529,31442
Kagemusha,4/26/1980,"Action, Drama, History, War",akita kurosawa laud feudal epic present tale petty thief recruit impersonate shin gen age warlord order avoid attack compete clan shin gen die general reluctantly agree impostor powerful ruler soon begin appreciate life shin gen commitment role test lead troop battle force rival warlord,ja,7.8,683,1.5188,11953
Joint Security Area,9/9/2000,"War, Drama, Thriller, Mystery, Action",north korean soldier kill border area north south korea prompt investigation neutral body sergeant shooter lead investigator swiss korean woman receive differ account side,ko,7.821,750,2.2962,2440
"Love, Rosie",10/16/2014,"Romance, Drama, Comedy",moment meet age rosie alex good friend face high low grow fleeting share moment miss opportunity decision follow send life completely different direction navigate complexity life love find way friendship,en,7.8,6330,9.2259,200727
The Phantom Carriage,1/1/1921,"Drama, Fantasy, Horror",alcoholic abusive need show error way legend doom person die new year eve clock strike rein death chariot work tirelessly collect fresh soul year,sv,7.82,333,0.9499,58129
The Working Class Goes to Heaven,9/17/1971,Drama,lose finger work accident italian worker increasingly involve political revolutionary group,it,7.819,360,0.3273,56231
Fail Safe,10/7/1964,"Thriller, Drama, War",technical defect american bomber team mistakenly order destruction moscow president united states little time prevent atomic catastrophe occur,en,7.8,428,3.1881,502
Finding Nemo,5/30/2003,"Animation, Family",demo adventurous young clownish unexpectedly take great barrier reef home dentist office aquarium worrisome father marlin friendly forgetful fish dory bring demo home meeting vegetarian shark surfer dude turtles hypnotic jellyfish hungry seagull way,en,7.817,19779,13.9396,12
Midnight Sun,3/22/2018,"Romance, Drama",katie year old shelter childhood confine house day rare disease make small sunlight deadly fate intervene meet charlie embark summer romance,en,7.816,3484,3.0873,419478
The Bridge on the River Kwai,10/11/1957,"Drama, History, War",classic story english pos burma force build bridge aid war effort japanese captor british american intelligence officer conspire blow structure col nicholson commander supervise bridge construction acquire sense pride creation try foil plan,en,7.8,2210,2.6207,826
A Bag of Marbles,1/18/2017,"War, Drama",beginning france occupy nazi force live jewish boffo family happy tight knit see future darken member family force wear yellow star fear bad parent organize family flee free zone south country maurice year old joseph year old leave order maximize chance find old brother settle nice brother leave device demonstrate incredible cleverness courage ingenuity escape enemy invasion try reunite family,fr,7.813,873,1.6669,398924
Spotlight,11/6/2015,"Drama, History",true story boston globe uncover massive scandal child molestation coverup local catholic archdiocese shake entire catholic church core,en,7.815,8426,3.9562,314365
World of Tomorrow,1/22/2015,"Animation, Drama, Science Fiction",little girl take mind end tour distant future,en,7.815,340,0.5882,303867
Infernal Affairs,12/12/2002,"Drama, Action, Thriller, Crime, Mystery",chan wing young police officer send undercover mole local mafia law kin ming young mafia member infiltrate police force year later old counterpart chen wing inspector law kin ming respectively race time expose mole midst,cn,7.815,1717,3.0379,10775
Network,11/14/1976,Drama,veteran anchorman howard belle force retire year post age announce viewer kill farewell broadcast network executive rethink decision fanatical tirade result spike rating,en,7.815,1850,2.4024,10774
The Best Offer,1/1/2013,"Drama, Romance, Crime",virgil goldman world renowne antique expert auctioneer eccentric genius lead solitary life go extreme length distance messiness human relationship appoint beautiful emotionally damage claire oversee valuation sale family priceless art collection virgil allow form attachment soon engulf passion rock bland existence core,it,7.814,2913,1.9702,152742
Rio Bravo,3/18/1959,Western,small sheriff american west enlist help disabled man drunk young gunfighter effort hold jail brother local bad guy,en,7.8,1200,3.1009,301
Io Capitano,9/7/2023,"Adventure, Drama",long bright future senegalese teenager embark journey west africa italy dream reality lie labyrinth checkpoint sahara desert vast water mediterranean,it,7.813,758,1.5484,937746
The Whale,12/9/2022,Drama,reclusive english teacher suffer severe obesity attempt reconnect estranged teenage daughter chance redemption,en,7.813,4228,5.6383,785084
Temple Grandin,2/6/2010,"Drama, History",biopic temple grand autistic american lead scientist humane livestock handling,en,7.813,498,2.1867,33602
Snatch,9/1/2000,"Crime, Comedy",unscrupulous boxing promoter violent bookmaker russian gangster incompetent amateur robber supposedly jewish jeweller fight track priceless steal diamond,en,7.814,9387,7.331,107
Paprika,10/1/2006,"Animation, Science Fiction, Thriller",machine allow therapist enter patient dream steal hell break loose young female therapist stop recover damage paprika,ja,7.812,2609,4.4215,4977
Fantastic Mr. Fox,10/14/2009,"Adventure, Animation, Comedy, Family",fantastic fox bore current life plan heist local farmer farmer tired share chicken sly fox seek revenge family,en,7.8,5693,5.6948,10315
Pirates of the Caribbean: The Curse of the Black Pearl,7/9/2003,"Adventure, Fantasy, Action",port royal attack pillage mysterious pirate crew capture governor daughter elizabeth swan process william turner ask free willing pirate jack sparrow help locate crew ship black pearl rescue woman love,en,7.811,21275,20.6902,22
Tod@s Caen,8/30/2019,Comedy,pair seducer try prove good technique try fall love,es,7.81,478,0.9794,554590
1900,8/28/1976,"Drama, History",epic tale class struggle twentieth century italy see eye childhood friend oppose side,it,7.809,653,1.2923,3870
Mulholland Drive,6/6/2001,"Thriller, Drama, Mystery",blonde betty elm arrive hollywood movie star meet enigmatic brunette amnesia set solve second woman identity filmmaker adam kosher run ominous trouble cast late project,en,7.8,6579,7.8759,1018
Before Sunset,6/16/2004,"Drama, Romance",year later jesse travel europe give reading book write night spend vienna feline reading paris feline find spend day jesse leave flight relationship jesse son strong feeling start return confess longing,en,7.809,3522,3.9213,80
Mr. Nobody,11/6/2009,"Science Fiction, Drama, Romance",demo lead ordinary existence wife child day wake mortal centenarian year,en,7.8,5968,3.8145,31011
Gifted Hands: The Ben Carson Story,2/7/2009,Drama,gifted hand ben carson story movie base life story world renowned neurosurgeon ben carson,en,7.808,729,4.4792,22683
One Hundred Steps,9/1/2000,"Drama, History",pop impact quick witted lad grow sicily despite hail family mafia tie live step house local boss tank bad lament popping decide expose mafia pirate radio station broadcast political pronouncement form ironic humour,it,7.807,699,1.0469,29458
The Man Who Shot Liberty Valance,4/13/1962,Western,question arise senator standard attend funeral local man name tom nippon small western town flash learn nippon save standard lawyer rough crew outlaws terrorize town lead liberty valance territory safety hang balance nippon standard people stand prove important different foe valance,en,7.806,1209,5.4335,11697
The Wrong Trousers,12/17/1993,"Animation, Comedy, Family",wallace rent gro bedroom penguin take interest techno pant create wallace gro later learn penguin wanted criminal preserve academy film archive,en,7.806,1080,1.9038,531
"Spring, Summer, Fall, Winter... and Spring",9/19/2003,Drama,isolated lake old monk live small float temple monk young boy live learn monk watch season year pass,ko,7.806,1112,2.6771,113
A Moment to Remember,11/5/2004,"Drama, Romance",young couple love test sun diagnose rare form alzheimer disease,ko,7.8,334,3.1187,15859
Monty Python and the Holy Grail,4/3/1975,"Adventure, Comedy, Fantasy",king arthur accompany squire recruit knight round table include sir bede ere wise sir lancelot brave sir robin notquitesobraveassirlancelot sir galahad pure way arthur battle black knight despite have limb chop insist fight reach camelot arthur decide enter silly place,en,7.804,6037,4.5286,762
The Specials,10/23/2019,"Comedy, Drama",year bruno mali live different world world autistic child teen charge separate nonprofit organization hatch shelter train young people underprivileged area caregiver extreme case refuse institution exceptional partnership outside traditional setting extraordinary character,fr,7.802,945,1.2999,579245
Evangelion: 2.0 You Can (Not) Advance,6/26/2009,"Animation, Science Fiction, Action, Drama",constant attack monstrous creature call angel seek eradicate humankind special agency nerve introduce new eva pilot help defend city tokyo mysterious making mari illustrious intense asoka langley hiking kendo kari steele proceed secret project involve shin,ja,7.8,915,2.4541,22843
Nostalgia,6/2/1983,"Drama, Romance",russian poet andrei interpreter eugenia travel italy research life century composer,ru,7.8,565,1.7095,1394
Luca,6/17/2021,"Animation, Comedy, Fantasy, Adventure, Family",luck good friend alberto experience unforgettable summer italian riviera fun threaten deeply hold secret sea monster world water surface,en,7.8,8600,9.7661,508943
Land of Mine,12/3/2015,"War, Drama, History",day follow surrender germany group young german prisoner war hand danish authority subsequently send west coast order remove million mine germans place sand coast bare hand crawl sand boy force perform dangerous work leadership danish sergeant,da,7.8,1409,1.4948,335578
Toy Story 3,6/16/2010,"Animation, Family, Comedy",woody buzz rest andy toy haven play year andy college gang find accidentally leave nefarious day care center toy band escape return home andy,en,7.8,15065,11.546,10193
L.A. Confidential,9/19/1997,"Crime, Mystery, Thriller, Drama",detective corrupt brutal la police force use differ method uncover conspiracy shotgun slaying patron night diner,en,7.8,5174,4.6557,2118
Harry Potter and the Goblet of Fire,11/16/2005,"Adventure, Fantasy",harry potter emerge goblet fire competitor gruelling battle glory wizard school wizard tournament harry submit tournament harry confront deadly dragon fierce water demon enchant maze find cruel grasp name,en,7.8,21304,21.1096,674
Die Hard,7/15/1988,"Action, Thriller",need cop john mac lane plan reconcile estranged wife throw loop minute arrive office christmas party entire building overtake group terrorist little help land wisecrack mcclure set single newly rescue hostage bring bad guy,en,7.8,11584,7.7285,562
Mishima: A Life in Four Chapters,9/20/1985,Drama,fictional account life japanese author audio rishi combine dramatization novel depiction event november,en,7.8,308,1.9542,27064
Porco Rosso,7/18/1992,"Family, Comedy, Animation, Adventure",italy sky pirate biplane terrorize wealthy cruise ship sail adriatic sea pilot brave stop scourge mysterious porno ross world war fly ace turn pig war prepare battle pirate crew american ace porno ross enlist help spunky girl mechanic fit piccolo longtime friend madame gina,ja,7.8,3462,4.5452,11621
Letter from an Unknown Woman,4/28/1948,"Drama, Romance",pianist flee duel receive letter woman remember tell story lifelong love force reinterpret past,en,7.799,319,1.1093,946
The Perks of Being a Wallflower,9/20/2012,Drama,pittsburgh pennsylvania high school freshman charlie wallflower watch life sideline senior student sam stepbrother patrick mentor help discover joy friendship music love,en,7.8,10733,6.917,84892
I Saw the Devil,8/12/2010,"Thriller, Horror",young chum dangerous psychopath kill pleasure sooty secret agent decide track murderer promise power vengeance killer mean monster,ko,7.798,2743,5.8462,49797
Into the Wild,9/21/2007,"Adventure, Drama",graduate emory university student athlete christopher mccain abandon possession give entire 24000 saving account charity hitchhiker alaska live wilderness,en,7.8,9742,7.2354,5915
All My Life,10/23/2020,"Romance, Drama",chance meeting start solo friend try chat jennifer end hit sol enjoy jones smile effort silly jan enjoy solo cook athleticism join fun moment imagine love bloom thing get jones investment sol lead push follow dream save money solo investment jan lead propose start liver tutor grow fulton cancer diagnosis month live sol jennifer try good,en,7.796,500,1.8989,632322
My Life as a Zucchini,9/22/2016,"Animation, Comedy, Drama, Family",mother death zucchini befriend kind police officer raymond accompany new foster home fill orphan age help newfound friend zucchini eventually learn trust love search new family,fr,7.796,1407,1.421,393559
Freaks,1/1/1932,"Drama, Horror",circus beautiful trapeze artist agree marry leader sideshow performer deform friend discover marry inheritance,en,7.796,1229,2.3218,136
Close,11/1/2022,Drama,year old boy spend idyllic summer connection test subject speculation school,fr,7.797,895,4.4054,901563
One Life,12/21/2023,"History, Drama",british stockbroker nicholas winton visit czechoslovakia form plan assist rescue jewish child onset world war ii operation come know kind transport,en,7.795,828,3.5539,760774
A Woman Under the Influence,11/18/1974,"Drama, Romance",mabel long etta desperate lonely married los angeles municipal construction worker nick increasingly unstable especially company crave happiness extremely volatile behavior convince nick pose danger family decide commit institution month trio kid raise await return hold surprise,en,7.799,524,4.6181,29845
My Fault,6/8/2023,"Romance, Drama",noah leave city boyfriend friend william listers mansion flashy wealthy husband mother rafael proud independent year old noah resist live mansion surround luxury meet nick new stepbrother clash strong personality evident beginning,es,7.8,3755,65.5513,1010581
Whiplash,1/18/2013,"Drama, Music",ferocious bullying music teacher teach dedicated student,en,7.8,379,5.269,367412
The Last Laugh,12/23/1924,Drama,age doorman fire prestigious job luxurious hotel force face scorn friend neighbour society,de,7.8,324,0.6978,5991
Rocky,11/20/1976,Drama,uneducated collector philadelphia loan shark give lifetime opportunity fight world heavyweight boxing champion,en,7.793,8160,9.5301,1366
The Twilight Samurai,11/2/2002,"Drama, Romance",seize gucci lead difficult life low rank samurai turn nineteenth century widower merger income seize struggle care daughter senile mother new prospect open beautiful tome childhood friend come daughter life japanese feudal system unravel seize bind code honor samurai sense social precedence find way good love,ja,7.8,331,1.1395,12496
The Best Years of Our Lives,12/25/1946,"Drama, Romance, War",hope sustain spirit dream day finally return home wii veteran day arrive man dream nightmare,en,7.792,688,1.513,887
Solaris,3/20/1972,"Drama, Science Fiction, Mystery",psychologist send space station orbit planet call polaris investigate death doctor mental problem cosmonaut station soon discover water planet type brain bring repressed memory obsession,ru,7.792,1691,2.723,593
Forbidden Games,5/9/1952,"Drama, War",orphan nazi air raid paulette young parisian girl run michel old peasant boy quickly close try sense chaotic crumble world attempt cope death create burial ground palette decease pet dog eventually palette stay michel family threaten harsh reality wartime,fr,7.79,324,1.6536,5000
Bajrangi Bhaijaan,7/17/2015,"Comedy, Drama, Action",young mute girl pakistan lose india way head devoted man magnanimous spirit undertake task motherland unite family,hi,7.8,502,2.6878,348892
A Movie of Eggs,4/21/2006,"Animation, Comedy, Family",small egg name toto decide want fulfill purpose life chicken instead die frying pan start quest return farm new friend noisy egg willy crazy bacon stripe friend face lot obstacle quest,es,7.789,306,1.7737,16761
Don't Be Bad,9/8/2015,"Crime, Drama",story set outskirt rome ostia world money luxury car night club cocaine synthetic drug easy run world victoria cesar early twenty act search success,it,7.788,990,0.6871,359156
Straight Outta Compton,8/11/2015,"Drama, Music, History",young man brutally honest rhyme hardcore beat frustration anger life dangerous place america powerful weapon music take begin straight outta compton tell true story cultural rebel arm lyric swagger bravado raw talent stand authority mean form world dangerous group kwa speak truth expose life hood voice ignite social revolution reverberate today,en,7.787,4011,5.6685,277216
Presto,6/27/2008,"Animation, Family, Comedy",dignity poise mystery expect great turnout century magician presto presto neglect feed rabbit time magician find int trick sleeve,en,7.788,1019,0.7295,13042
The Wind Rises,7/20/2013,"Drama, Animation, Romance, War, History",lifelong love flight inspire japanese aviation engineer giro hor kochi storied career include creation world war ii fighter plane,ja,7.8,3154,3.665,149870
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,5/28/2003,"Animation, Science Fiction, Music, Adventure",talented alien musician kidnap record producer disguise human space pilot love bass player stella follow earth reprogramme forget real identity rename crescendo group quickly huge success play soulless corporate pop concert manage free musician stella band set rediscover rescue stella,en,7.787,488,1.4004,11049
The Dark Knight Rises,7/17/2012,"Action, Crime, Drama, Thriller",follow death district attorney harvey dent batman assume responsibility dent crime protect late attorney reputation subsequently hunt gotham city police department year later batman encounter mysterious salina kyle villainous bane new terrorist leader overwhelm gotham fine dark knight resurface protect city brand enemy,en,7.786,23375,14.0297,49026
Z,2/26/1969,"Thriller, Crime, Drama",amid tense political climate opposition leader kill apparent accident prosecutor smell coverup witness target thinly veil dramatization assassination greek politician gregorio lambda aftermath capture outrage back junta rule greece time release,fr,7.786,571,1.0448,2721
Brokeback Mountain,10/22/2005,"Drama, Romance",wyome man develop strong emotional sexual relationship endure lifelong connection complicate life married start family,en,7.786,7218,6.5827,142
Rififi,4/13/1955,"Crime, Thriller, Drama",prison year stretch jewel thief tony turn quick job friend offer discover old girlfriend lover local gangster pierre gutter toy absence expand minor smash lab scale jewel heist tony crew appear away clean action job complete threaten life involve,fr,7.8,591,1.4558,934
Dune,9/15/2021,"Science Fiction, Adventure",paul stride brilliant gifted young man bear great destiny understanding travel dangerous planet universe ensure future family people malevolent force explode conflict planet exclusive supply precious resource existence commodity capable unlock humanity great potential conquer fear survive,en,7.783,13743,21.0625,438631
Scent of a Woman,12/23/1992,Drama,charlie sim student private preparatory school come poor family earn money flight home gresham oregon christmas charlie take job thanksgive look retire army officer lieutenant colonel frank slide cantankerous middle aged man live niece family,en,7.783,3625,5.4739,9475
The King of Comedy,12/18/1982,"Drama, Comedy",aspire comic rupert pumpkin attempt achieve success business stalk idol late night talk host crave privacy,en,7.782,2413,2.9814,262
Words on Bathroom Walls,8/21/2020,"Drama, Romance",diagnose mental illness halfway senior year high school witty introspective teen struggle secret fall love brilliant classmate inspire open heart define condition,en,7.781,631,2.1041,523781
A Short Film About Love,8/21/1988,"Drama, Romance",year old tome while away lonely life spy opposite neighbour mazda binocular s artist mid thirty appear constant stream man beck finally meet discover lot common appear sight,pl,7.781,386,1.0394,31056
The Girl Who Leapt Through Time,7/15/2006,"Fantasy, Animation, Drama, Science Fiction",year old mako kongo gain ability literally leap backwards time immediately set improve grade prevent personal mishap soon realise change past int simple eventually rely new power shape future friend,ja,7.8,2098,3.8431,14069
Wings of Desire,9/23/1987,"Drama, Fantasy, Romance",angel daniel cassie glide street berlin observe bustling population provide invisible ray hope distressed interact daniel fall love lonely trapeze artist marion angel long experience life physical world find word wisdom actor peter talk possible human form,de,7.778,1394,2.8433,144
Polisse,10/6/2011,"Drama, Crime",paris france fre colleague member bpm police child protection unit dedicate pursue sort offence commit weak endure scrutiny melissa photographer commission graphically document daily routine team,fr,7.779,1257,1.5738,71157
The Avengers,4/25/2012,"Science Fiction, Action, Adventure",unexpected enemy emerge threaten global safety security nick fury director international peacekeeping agency know shield find need team pull world brink disaster span globe daring recruitment effort begin,en,7.779,32486,32.2928,24428
Day for Night,5/24/1973,"Comedy, Drama",committed film director struggle complete movie cope myriad crisis personal professional cast crew,fr,7.778,618,1.5604,1675
Awakenings,12/4/1990,Drama,malcolm sayer shy research physician use experimental drug awaken catatonic victim rare disease leonard patient receive controversial treatment awakening fill awe enthusiasm prove rebirth sayer exuberant patient reveal life simple unutterably sweet pleasure introverted doctor,en,7.776,2659,3.7504,11005
Fanny and Alexander,12/17/1982,"Fantasy, Drama, Mystery",child love dahl family fanny alexander enjoy happy life parent run theatre company father die unexpectedly sibling end joyless home mother emilie marry stern bishop bleak situation gradually grow bad bishop controlling dedicated relative valiant attempt aid emilie fanny alexander,sv,7.775,810,1.4418,5961
